index	year	y1	y2	y3	y4	y5	b	x1	x2	x3	x4	x5	e	w1	w2	w3	w4	w5	TA
1572	2002	719834.9783936716	4298728.320445008	2202180.611335142	2842231.849906679	190303	55414	2336.25	109318.6736773365	4599868.923985888	74206.32040532229	5378761.239011856	674215.5	63.95091284261246	.2261378786179743	.0298973038226326	.0127458682388529	.0174264036046846	10817419.12447447
1572	2003	895441.9019033498	4125288.330264959	2217271.894380621	3433067.660440838	217305	34994	2318.25	120921.3613229906	4484593.406686696	66257.77547292327	5970756.960487762	710673.5	66.7919824050082	.1883242331444115	.0262561797447786	.0065599136090001	.0108585391338907	11335676.59832281
1572	2004	710436.2541738174	4614260.267479314	2379595.645933253	3688701.312340256	247780	28442	2482.25	118946.0293428285	4489450.550473465	79946.83568082207	6228062.748179754	755807.75	66.80110264364349	.1961282587589838	.0289166981870554	.0047955121245024	.0109863302213307	12065149.26005243
1572	2005	584896	5173147.25	2588425.75	2881371.75	256967	23518	2512.75	108856.75	3741697	68114.5	6803984.25	797410.5	69.61536165555665	.2238721990138416	.0416388606560072	.0081333636744012	.0189555112506323	12292655
1572	2006	503530.7457608224	6300833.608506361	2788473.302876471	2756938.97237764	253926	22416	2596.5	120023.3863731339	4017607.479135481	42875.33603675686	7653563.018503951	919623.75	71.45961417773238	.2050340199629833	.0504278818386258	.0095091850082466	.0269764353330424	13843447.70321621
1572	2007	468366.5663630653	7794057.315958863	3026468.122496399	2595342.755728045	229676	75309	2655.5	136277.1444113244	4742921.800491598	41087.6468851869	8324607.957348748	1029137.5	71.17045739389749	.1923644177051998	.0496033548185585	.0100571272192385	.0311076674103578	15455148.66487856
1572	2008	409713.2310821976	9785833.892776376	3710738.320191717	2948115.61076521	202062	439841	2576.25	151114.6775512593	6073959.197558766	38711.5093116271	10090564.72592104	1123162.3	66.91714160042928	.1701317270919857	.0296613329712691	.0084753458243787	.020696552650091	18470406.95887737
1572	2010	239979.6261798317	9104841.038992168	3867173.83755075	1864906.423598214	105031	482822	2396.25	166779.4062590158	2219206.554249873	62976.09849716327	11269572.02758904	1750023.5	70.38168767933986	.1525083142951932	.0050538712020965	.0038144355671116	.0065273793955248	15170268.0098234
1596	2001	8910545.25880958	25026909.90009267	32663659.8753116	9898171.468826281	830354	1070930	17051.25	704861.9104000523	31673234.13485511	1111621.567265146	36555220.47354969	5234955	61.7674328039756	.4861274158004718	.0464266664476067	.0086562539475888	.0328139807381703	83269174.49612203
1596	2002	7360455.351727242	24797562.22838615	29147843.4041655	11768777.75715321	785372	956767	16509.25	649197.2911015779	28181743.59258171	1210437.582892762	38922039.10718448	4950897	64.588954788709	.4951154389558902	.0282765246476106	.0051348494372393	.0164968860048967	79795908.31622145
1596	2003	6088645.950112583	24034940.1061048	26942856.41370573	14303864.16347203	826732	635062	16063.5	593313.5047279518	24501253.35611342	1352655.100025012	44858836.46403702	5009814.5	69.05533005634723	.5391141179991046	.0243735420238787	.0015592673575076	.0104196047032916	80106125.77317932
1596	2004	6348196.39580636	25570479.57813953	27479801.63487049	12641863.62233776	959412	457095	16666.75	568694.5157803687	20911032.20463513	1426663.083986659	47769408.24521712	5421497	72.73811211545073	.5859190555343306	.0284728375045071	.0013900035637402	.011068545956025	80658479.70429689
1596	2005	7880982.249999999	30580142.75	30183750.75	8487236.75	1317589	384095	17879	565462.75	21536720.5	1307539.5	50848167.25	6660859	70.58923877174338	.6431387390239234	.0370722181216031	.0023754540493805	.0171365075109959	87084232.5
1596	2006	7741809.692054302	30644754.45079736	30945213.67663907	8163583.221797312	1447506	344492	18699.25	524576.3103819018	20256643.3195884	1150972.460610088	51065027.54129386	6937903.5	71.60918104653588	.6128112469587675	.0472395004092009	.0034109511871699	.0267407407442779	87605056.32663816
